time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
0.171000,-0.513043,-0.504117,0.853806,0.999924,0.004776,-0.011320,0.001026,
0.171000,-0.513038,-0.504115,0.853751,0.999924,0.004776,-0.011320,0.001026,
0.172000,-0.513034,-0.504114,0.853695,0.999924,0.004776,-0.011320,0.001026,
0.173000,-0.513030,-0.504113,0.853640,0.999924,0.004776,-0.011320,0.001026,
0.174000,-0.513026,-0.504111,0.853586,0.999924,0.004776,-0.011320,0.001026,
0.175000,-0.513022,-0.504110,0.853531,0.999924,0.004776,-0.011320,0.001026,
0.177000,-0.513017,-0.504109,0.853477,0.999924,0.004776,-0.011320,0.001026,
0.178000,-0.513013,-0.504107,0.853414,0.999924,0.004776,-0.011320,0.001026,
0.178000,-0.513008,-0.504106,0.853352,0.999924,0.004776,-0.011320,0.001026,
0.179000,-0.513003,-0.504104,0.853290,0.999924,0.004776,-0.011320,0.001026,
0.180000,-0.512998,-0.504103,0.853228,0.999924,0.004776,-0.011320,0.001026,
0.182000,-0.512994,-0.504101,0.853167,0.999924,0.004776,-0.011320,0.001026,
0.183000,-0.512989,-0.504100,0.853106,0.999924,0.004776,-0.011320,0.001026,
0.183000,-0.512984,-0.504098,0.853045,0.999924,0.004776,-0.011320,0.001026,
0.184000,-0.512980,-0.504097,0.852984,0.999924,0.004776,-0.011320,0.001026,
0.185000,-0.512975,-0.504095,0.852924,0.999924,0.004776,-0.011320,0.001026,
0.187000,-0.512970,-0.504094,0.852864,0.999924,0.004776,-0.011320,0.001026,
0.187000,-0.512965,-0.504092,0.852795,0.999924,0.004776,-0.011320,0.001026,
0.188000,-0.512960,-0.504090,0.852727,0.999924,0.004776,-0.011320,0.001026,
0.189000,-0.512955,-0.504089,0.852659,0.999924,0.004776,-0.011320,0.001026,
0.190000,-0.512949,-0.504087,0.852591,0.999924,0.004776,-0.011320,0.001026,
0.191000,-0.512944,-0.504085,0.852524,0.999924,0.004776,-0.011320,0.001026,
0.192000,-0.512939,-0.504084,0.852457,0.999924,0.004776,-0.011320,0.001026,
